,The Art of Collecting,Phenomena,Warumuk - in the dark night,Opera On Sydney Harbour: La Boheme,Spartacus,Thomas And Friends: Big World! Big Adventures! The Movie,Charlie And Lola,Dog Loves Books,Molly And Mack,storyTree,Ana Pumpkin,Languages Of Our Land,Shaun The Sheep,The Parker Andersons,Olobob Top
The Art of Collecting,1.0,0.32,0.39,0.37,0.35,0.12,0.14,0.14,0.14,0.12,0.16,0.12,0.08,0.13,0.16
Phenomena,0.32,1.0,0.39,0.37,0.35,0.12,0.14,0.14,0.14,0.12,0.16,0.12,0.08,0.13,0.16
Warumuk - in the dark night,0.39,0.39,1.0,0.47,0.6,0.2,0.23,0.23,0.23,0.2,0.27,0.19,0.13,0.21,0.27
Opera On Sydney Harbour: La Boheme,0.37,0.37,0.47,1.0,0.67,0.16,0.19,0.19,0.19,0.16,0.22,0.15,0.1,0.17,0.22
Spartacus,0.35,0.35,0.6,0.67,1.0,0.23,0.27,0.27,0.27,0.23,0.31,0.22,0.15,0.24,0.31
Thomas And Friends: Big World! Big Adventures! The Movie,0.12,0.12,0.2,0.16,0.23,1.0,0.64,0.75,0.64,0.55,0.74,0.52,0.41,0.38,0.74
Charlie And Lola,0.14,0.14,0.23,0.19,0.27,0.64,1.0,0.75,0.75,0.64,0.87,0.61,0.42,0.45,0.87
Dog Loves Books,0.14,0.14,0.23,0.19,0.27,0.75,0.75,1.0,0.75,0.64,0.87,0.61,0.49,0.45,0.87
Molly And Mack,0.14,0.14,0.23,0.19,0.27,0.64,0.75,0.75,1.0,0.64,0.87,0.61,0.42,0.45,0.87
storyTree,0.12,0.12,0.2,0.16,0.23,0.55,0.64,0.64,0.64,1.0,0.74,0.78,0.35,0.38,0.74
Ana Pumpkin,0.16,0.16,0.27,0.22,0.31,0.74,0.87,0.87,0.87,0.74,1.0,0.71,0.48,0.52,1.0
Languages Of Our Land,0.12,0.12,0.19,0.15,0.22,0.52,0.61,0.61,0.61,0.78,0.71,1.0,0.45,0.55,0.71
Shaun The Sheep,0.08,0.08,0.13,0.1,0.15,0.41,0.42,0.49,0.42,0.35,0.48,0.45,1.0,0.56,0.48
The Parker Andersons,0.13,0.13,0.21,0.17,0.24,0.38,0.45,0.45,0.45,0.38,0.52,0.55,0.56,1.0,0.52
Olobob Top,0.16,0.16,0.27,0.22,0.31,0.74,0.87,0.87,0.87,0.74,1.0,0.71,0.48,0.52,1.0
